,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,Pepas,Pepas,Farruko,2021-06-24,287120,87,0.762,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,4
40,Samahan Mo Ako,Samahan Mo Ako,Hey Its Je,2021-01-07,212976,57,0.663,0.477,0.663,0.442,2.51e-06,0.179,-12.106,0.0874,79.973,4
41,Marikit,Marikit,Juan Caoile,2020-05-21,263348,29,0.806,0.574,0.806,0.593,0.0,0.0981,-7.672,0.0745,143.01,4
42,Sunrise,Sunrise,Fred Engay,2020-11-06,146351,51,0.668,0.168,0.668,0.514,0.0,0.0852,-6.823,0.0366,112.017,4
43,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,29,0.808,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
44,Ulap,Ulap,Rob Deniel,2020-09-13,405738,32,0.655,0.398,0.655,0.385,0.00564,0.112,-8.967,0.0355,120.016,4
45,Ikaw Lang,Ikaw Lang,NOBITA,2020-06-12,263500,75,0.513,0.12,0.513,0.38,0.0,0.0924,-11.091,0.0336,120.952,4
46,Aking Pahinga,Aking Pahinga,DRO,2021-07-01,274285,42,0.772,0.792,0.772,0.18,2.3e-05,0.0892,-14.966,0.0315,94.515,3
47,double take,double take,dhruv,2019-05-24,171743,14,0.654,0.837,0.654,0.434,0.0,0.216,-11.163,0.0665,109.069,4
48,INFERNO,INFERNO,Sub Urban,2021-08-13,133133,74,0.82,0.0766,0.82,0.611,2.5e-05,0.0684,-5.02,0.122,127.883,4
49,Dance With You,Dance With You,Skusta Clee,2020-11-19,244321,61,0.771,0.0375,0.771,0.629,0.0,0.108,-7.1,0.0833,116.0,4
50,seaside_demo,seaside_demo,SEB,2021-05-17,132000,74,0.706,0.355,0.706,0.824,0.000133,0.111,-7.959,0.0694,94.98,4
51,Bazinga,Pagsibol,SB19,2021-07-22,202506,56,0.869,0.206,0.869,0.922,0.0,0.831,-1.452,0.0953,115.034,4
52,Beggin',Chosen,Måneskin,2017-12-08,211560,86,0.714,0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,4
53,Sakay,Sakay,LOIR,2021-08-19,207000,44,0.383,0.911,0.383,0.468,0.199,0.0899,-11.738,0.0933,175.644,3
54,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,56,0.586,0.182,0.586,0.616,0.0,0.0927,-7.964,0.0324,148.088,4
55,Binibini,Binibini,Zack Tabudlo,2021-03-26,221538,69,0.642,0.423,0.642,0.374,1.54e-06,0.435,-10.606,0.032,129.863,4
56,Landian,Landian,Fred Engay,2021-06-20,231666,46,0.654,0.189,0.654,0.693,0.0,0.227,-7.425,0.0711,114.954,4
57,Pasalubong - feat. Moira Dela Torre,Pasalubong (feat. Moira Dela Torre),Ben&Ben,2021-07-30,241587,57,0.375,0.582,0.375,0.358,2.56e-05,0.0647,-8.531,0.026,71.755,4
58,Butter,Butter,BTS,2021-05-21,164441,8,0.759,0.00323,0.759,0.459,0.0,0.0906,-5.187,0.0948,109.997,4
59,Malayo Ka Man,Malayo Ka Man,Various Artists,2020-03-11,254139,57,0.87,0.18,0.87,0.597,0.0,0.0902,-8.339,0.0613,103.019,4
60,Build a Bitch,Build a Bitch,Bella Poarch,2021-05-14,122772,76,0.855,0.217,0.855,0.463,1.77e-05,0.347,-7.454,0.0367,102.931,4
61,Kawalan,Kawalan,Fred Engay,2021-11-19,164757,43,0.513,0.111,0.513,0.686,0.00125,0.148,-7.441,0.0542,105.377,4
62,MONEY,LALISA,LISA,2021-09-10,168227,80,0.831,0.161,0.831,0.554,6.12e-05,0.152,-9.998,0.218,140.026,4
63,Chosen (feat. Ty Dolla $ign),No Love Lost (Deluxe),Blxst,2020-12-04,161684,78,0.571,0.336,0.571,0.767,0.0,0.0809,-5.16,0.287,93.421,4
64,Bicolana,Bicolana,Fred Engay,2022-04-15,194648,44,0.827,0.358,0.827,0.456,0.00344,0.108,-8.407,0.0676,115.975,4
65,Kahit Di Ko Sabihin,Kahit Di Ko Sabihin,Hey Its Je,2021-05-06,251866,43,0.788,0.379,0.788,0.612,0.000388,0.268,-6.477,0.0631,78.007,4
66,FEVER,BORDER : CARNIVAL,ENHYPEN,2021-04-26,172106,76,0.6,0.0642,0.6,0.713,0.0,0.142,-5.079,0.0592,72.999,4
67,Alab (Burning),Alab (Burning),SB19,2019-12-25,182750,42,0.715,0.0176,0.715,0.927,0.0,0.34,-2.12,0.0604,119.974,4
68,At My Worst,The Prelude,Pink Sweat$,2020-07-17,170344,74,0.813,0.777,0.813,0.415,0.0,0.131,-5.926,0.0349,91.921,4
